country,year,population,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy
China,1980,982372480,,,,1.167,55.708,4914.158,2.549,0.586,27.128,,,4738.909,4655.374,,96.434,19.905,28.58,172.159,59.266,58.221,175.249,,3.566
China,1981,997259520,,,,-1.319,-63.684,4776.941,2.443,-1.831,-85.246,,,4582.687,4570.128,,95.934,12.525,21.562,193.722,65.693,65.513,194.254,,4.066
China,1982,1013483200,,,,4.472,213.021,4910.659,2.338,4.085,186.701,,,4693.545,4756.829,,95.579,13.586,26.319,220.041,73.424,74.414,217.114,,4.421
China,1983,1029226880,,,,6.446,320.828,5147.26,2.325,5.998,285.335,,,4898.982,5042.164,,95.177,16.13,35.493,255.534,83.963,86.417,248.278,,4.823
China,1984,1044172224,,,,7.313,387.446,5444.643,2.244,7.661,386.27,,,5198.792,5428.434,,95.485,0.46,1.176,256.71,83.142,86.815,245.85,,4.515
China,1985,1060240000,,410.69,6.88,8.183,465.227,5800.923,2.234,8.267,448.748,300.217,318.302,5543.256,5877.182,77.504,95.558,6.419,16.479,273.189,87.138,92.388,257.667,22.496,4.442
China,1986,1077770496,,449.53,7.182,4.776,293.735,5979.108,2.198,4.889,287.345,329.366,354.981,5719.703,6164.527,78.967,95.661,2.339,6.39,279.579,87.726,94.549,259.405,21.033,4.339
China,1987,1096851840,,497.267,7.362,7.854,506.133,6336.534,2.187,7.948,489.941,362.166,397.243,6066.88,6654.468,79.885,95.744,5.791,16.191,295.771,91.192,100.024,269.654,20.115,4.256
China,1988,1115889792,,545.21,7.517,7.437,516.873,6691.621,2.226,7.361,489.835,390.757,436.042,6402.337,7144.303,79.977,95.677,9.142,27.038,322.809,97.83,109.168,289.284,20.023,4.323
China,1989,1134414720,,584.81,7.69,4.946,369.325,6907.912,2.318,4.787,342,411.138,466.401,6599.265,7486.303,79.753,95.532,8.465,27.325,350.134,104.379,118.409,308.647,20.247,4.468
